date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-17,Premier League,19-20,Everton,Watford,1,0,H,12.0,8.0,2.0,2.0,4.0,7.0,11.0,11.0,2.0,3.0,0.0,0.0,1.72,3.8,4.75,Premier League\19-20.csv
2019-08-17,Premier League,19-20,Man City,Tottenham,2,2,D,30.0,3.0,10.0,2.0,13.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,1.36,5.25,8.0,Premier League\19-20.csv
2019-08-17,Premier League,19-20,Norwich,Newcastle,3,1,H,15.0,10.0,8.0,3.0,7.0,5.0,9.0,11.0,1.0,3.0,0.0,0.0,2.25,3.3,3.3,Premier League\19-20.csv
2019-08-17,Premier League,19-20,Southampton,Liverpool,1,2,A,14.0,15.0,3.0,6.0,5.0,9.0,10.0,6.0,2.0,1.0,0.0,0.0,6.5,4.75,1.44,Premier League\19-20.csv
2019-08-18,Bundesliga,19-20,Ein Frankfurt,Hoffenheim,1,0,H,17.0,10.0,8.0,1.0,10.0,5.0,16.0,9.0,3.0,1.0,0.0,0.0,2.25,3.6,3.0,Bundesliga\19-20.csv
2019-08-18,Bundesliga,19-20,Union Berlin,RB Leipzig,0,4,A,13.0,14.0,2.0,8.0,3.0,6.0,14.0,5.0,1.0,0.0,0.0,0.0,5.0,3.8,1.7,Bundesliga\19-20.csv
2019-08-18,La Liga,19-20,Alaves,Levante,1,0,H,9.0,16.0,2.0,4.0,2.0,9.0,18.0,15.0,2.0,1.0,0.0,0.0,2.15,3.2,3.6,La Liga Primera Division\19-20.csv
2019-08-18,La Liga,19-20,Ath Madrid,Getafe,1,0,H,5.0,6.0,5.0,0.0,3.0,4.0,19.0,22.0,3.0,4.0,1.0,1.0,1.44,4.33,8.0,La Liga Primera Division\19-20.csv
2019-08-18,La Liga,19-20,Betis,Valladolid,1,2,A,13.0,14.0,4.0,3.0,6.0,1.0,11.0,19.0,2.0,6.0,1.0,0.0,1.66,3.75,5.5,La Liga Primera Division\19-20.csv
2019-08-18,La Liga,19-20,Espanol,Sevilla,0,2,A,7.0,12.0,2.0,4.0,8.0,4.0,11.0,17.0,2.0,2.0,0.0,0.0,3.2,3.3,2.3,La Liga Primera Division\19-20.csv
2019-08-18,Ligue 1,19-20,Reims,Strasbourg,0,0,D,11.0,4.0,1.0,1.0,2.0,4.0,18.0,19.0,2.0,0.0,0.0,0.0,2.0,3.2,4.0,Le Championnat\19-20.csv
2019-08-18,Ligue 1,19-20,Rennes,Paris SG,2,1,H,11.0,9.0,4.0,2.0,4.0,7.0,15.0,19.0,1.0,5.0,0.0,0.0,8.0,5.25,1.36,Le Championnat\19-20.csv
2019-08-18,Ligue 1,19-20,St Etienne,Brest,1,1,D,19.0,9.0,5.0,4.0,4.0,2.0,16.0,8.0,1.0,2.0,0.0,0.0,1.61,3.75,6.0,Le Championnat\19-20.csv
2019-08-18,Premier League,19-20,Chelsea,Leicester,1,1,D,14.0,12.0,5.0,3.0,4.0,5.0,9.0,14.0,1.0,0.0,0.0,0.0,1.7,3.75,5.0,Premier League\19-20.csv
2019-08-18,Premier League,19-20,Sheffield United,Crystal Palace,1,0,H,15.0,6.0,3.0,4.0,8.0,4.0,16.0,11.0,3.0,1.0,0.0,0.0,2.55,3.1,2.9,Premier League\19-20.csv
2019-08-19,Premier League,19-20,Wolves,Man United,1,1,D,6.0,9.0,2.0,2.0,4.0,6.0,17.0,8.0,2.0,2.0,0.0,0.0,3.3,3.3,2.25,Premier League\19-20.csv
2019-08-23,Bundesliga,19-20,FC Koln,Dortmund,1,3,A,13.0,14.0,1.0,6.0,7.0,8.0,11.0,10.0,2.0,1.0,0.0,0.0,6.5,4.75,1.44,Bundesliga\19-20.csv
2019-08-23,La Liga,19-20,Granada,Sevilla,0,1,A,12.0,11.0,0.0,6.0,6.0,6.0,13.0,14.0,1.0,1.0,0.0,0.0,3.6,3.6,1.95,La Liga Primera Division\19-20.csv
