date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2021-08-27,Bundesliga,Dortmund,Hoffenheim,0.7024791543331291,0.1766325402071644,0.1208883054597064,0.5221983249446627,0.2368337140543091,0.2409679610010281,2.40641663386372,1.0223064653712055,-1.3841101684925143,H,H,0.7024791543331291,0.5221983249446627,True,False,H,1.4,5.5,6.5
2021-08-27,La Liga,Valencia,Alaves,0.5485490886283456,0.2644530204162925,0.1869978909553619,0.4933607238096716,0.2919996647014432,0.214639611488885,1.6549030979085826,0.955636232471816,-0.6992668654367666,H,H,0.5485490886283456,0.4933607238096716,True,False,H,1.75,3.6,4.75
2021-08-28,Premier League,Brighton,Everton,0.4028240530352638,0.312714036600174,0.2844619103645621,0.3650794292735382,0.2713287415368162,0.3635918291896455,1.3912938757309974,1.1863521553562255,-0.2049417203747718,H,H,0.4028240530352638,0.3650794292735382,True,False,A,2.3,3.2,3.3
2021-08-28,Serie A,Juventus,Empoli,0.7850381094297024,0.1371793735356026,0.077782517034695,0.7055848078009832,0.1916303308996881,0.1027848612993286,2.649520090336696,0.8117377988455156,-1.8377822914911803,H,H,0.7850381094297024,0.7055848078009832,True,False,A,1.22,6.5,12.0
2021-08-28,Serie A,Fiorentina,Torino,0.4212438604331082,0.2971088102077066,0.2816473293591851,0.4701449555072141,0.2919787927296866,0.2378762517630992,1.3647342011124048,1.0944191282970568,-0.270315072815348,H,H,0.4212438604331082,0.4701449555072141,True,False,H,2.2,3.4,3.25
2021-08-28,Serie A,Atalanta,Bologna,0.729946307856868,0.1665193437621215,0.1035343483810105,0.6243731962920493,0.2217748087565171,0.1538519949514334,2.310193908046468,0.922415592951848,-1.38777831509462,H,H,0.729946307856868,0.6243731962920493,True,False,D,1.33,5.5,8.0
2021-08-28,Premier League,West Ham,Crystal Palace,0.6328270943425887,0.2274133537273719,0.1397595519300394,0.6823304585139782,0.1875198654588016,0.1301496760272202,2.106288781216008,0.9602124362623776,-1.1460763449536304,H,H,0.6328270943425887,0.6823304585139782,True,False,D,1.55,4.0,6.5
2021-08-28,Premier League,Norwich,Leicester,0.1902903906660066,0.2630136043112991,0.5466960050226943,0.1440435733803341,0.2435048272909386,0.6124515993287273,1.0615896115309986,1.7158525858206324,0.6542629742896338,A,A,0.5466960050226943,0.6124515993287273,True,False,A,4.5,3.5,1.85
2021-08-28,Serie A,Lazio,Spezia,0.7224965573000859,0.1782022243561545,0.0993012183437595,0.5672566881030119,0.2539944764068448,0.1787488354901433,2.47468765902334,0.90663238028449,-1.5680552787388502,H,H,0.7224965573000859,0.5672566881030119,True,False,H,1.33,4.75,9.5
2021-08-28,Premier League,Newcastle,Southampton,0.3632609685372254,0.3005891050691532,0.3361499263936213,0.4140226953376526,0.2772035451574432,0.3087737595049042,1.299524643806848,1.3364504955068794,0.0369258517000314,H,H,0.3632609685372254,0.4140226953376526,True,False,D,2.5,3.4,2.8
2021-08-28,Premier League,Man City,Arsenal,0.773611071754089,0.145517101279601,0.0808718269663098,0.7071907913166517,0.162894540400186,0.1299146682831623,2.6766211870614933,0.8387756325138988,-1.837845554547595,H,H,0.773611071754089,0.7071907913166517,True,False,H,1.25,6.0,12.0
2021-08-28,Premier League,Liverpool,Chelsea,0.3707264510123422,0.3060975887253859,0.3231759602622718,0.5562484138220823,0.2154883438375279,0.2282632423403897,1.338277577495265,1.306907289071633,-0.0313702884236322,H,H,0.3707264510123422,0.5562484138220823,True,False,D,2.45,3.3,2.9
2021-08-28,Premier League,Aston Villa,Brentford,0.4875663228773237,0.2782574220178004,0.2341762551048759,0.4217903732200829,0.298276148373876,0.279933478406041,1.5009903876776156,1.0353305465971177,-0.4656598410804979,H,H,0.4875663228773237,0.4217903732200829,True,False,D,1.95,3.6,3.8
2021-08-28,Bundesliga,Stuttgart,Freiburg,0.4328881311050514,0.2851879623047883,0.2819239065901602,0.3936337850827416,0.3002265338590517,0.3061396810582066,1.491097391907856,1.2602338194452982,-0.2308635724625578,H,H,0.4328881311050514,0.3936337850827416,True,False,A,2.15,3.6,3.2
2021-08-28,Ligue 1,Marseille,St Etienne,0.5658944859832408,0.2519365769406455,0.1821689370761137,0.5332829651689742,0.2585412667727774,0.2081757680582483,1.7722983693195165,1.1174790837494422,-0.6548192855700743,H,H,0.5658944859832408,0.5332829651689742,True,False,H,1.7,3.8,4.75
2021-08-28,Ligue 1,Nice,Bordeaux,0.6105372982268725,0.2283136792996385,0.1611490224734889,0.4826431871979357,0.2932951337487818,0.2240616790532824,1.850840834848139,1.0297408269607713,-0.8211000078873678,H,H,0.6105372982268725,0.4826431871979357,True,False,H,1.6,4.2,5.25
2021-08-28,Bundesliga,Bayern Munich,Hertha,0.8263917783908793,0.1102812557301231,0.0633269658789976,0.8425754597227642,0.1108223645629651,0.0466021757142706,3.3625567265747174,0.8607589900531074,-2.5017977365216097,H,H,0.8263917783908793,0.8425754597227642,True,False,H,1.14,9.0,15.0
2021-08-28,Bundesliga,Bielefeld,Ein Frankfurt,0.2583716850289876,0.2760047011710209,0.4656236137999914,0.2842075978286403,0.2552803830676838,0.4605120191036758,1.1495329070205338,1.6037483919079687,0.4542154848874349,A,A,0.4656236137999914,0.4605120191036758,True,False,D,3.3,3.6,2.1
2021-08-28,Bundesliga,FC Koln,Bochum,0.5265670958521814,0.2645579650642838,0.2088749390835346,0.4124007639087814,0.2958926981361863,0.2917065379550321,1.654620194502158,0.967643870982313,-0.686976323519845,H,H,0.5265670958521814,0.4124007639087814,True,False,H,1.83,3.75,4.2
2021-08-28,Bundesliga,Augsburg,Leverkusen,0.1758313922052892,0.2394653565806045,0.5847032512141063,0.2130984913551279,0.2540752627507995,0.5328262458940726,1.0275860310966136,1.9837166014943224,0.9561305703977088,A,A,0.5847032512141063,0.5328262458940726,True,False,A,4.75,3.8,1.72
2021-08-28,La Liga,Betis,Real Madrid,0.1975006967962254,0.24781274753467,0.5546865556691044,0.2127502603447572,0.2524362984948506,0.5348134411603921,1.0173245584771626,1.6980495888949605,0.6807250304177979,A,A,0.5546865556691044,0.5348134411603921,True,False,A,4.2,3.8,1.8
