date,group,stage,round,match_id,home_team,away_team,home_goals,away_goals,status,aet,penalties_home,penalties_away,winner,source_url,source_event_date,matched_date_source,fetched_at
2026-06-22,J,Group Stage,Group Stage,,Argentina,Austria,2.0,0.0,completed,False,,,Argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260622,2026-06-22,exact,2026-07-10T12:19:35.816562+00:00
2026-06-22,J,Group Stage,Group Stage,,Jordan,Algeria,1.0,2.0,completed,False,,,Algeria,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260622,2026-06-23,source_event_date_plus_1,2026-07-10T12:19:35.816562+00:00
2026-06-23,K,Group Stage,Group Stage,,Colombia,DR Congo,1.0,0.0,completed,False,,,Colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623,2026-06-24,source_event_date_plus_1,2026-07-10T12:19:52.908937+00:00
2026-06-23,K,Group Stage,Group Stage,,Portugal,Uzbekistan,5.0,0.0,completed,False,,,Portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623,2026-06-23,exact,2026-07-10T12:19:52.908937+00:00
2026-06-23,L,Group Stage,Group Stage,,England,Ghana,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623,2026-06-23,exact,2026-07-10T12:19:52.908937+00:00
2026-06-23,L,Group Stage,Group Stage,,Panama,Croatia,0.0,1.0,completed,False,,,Croatia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623,2026-06-23,exact,2026-07-10T12:19:52.908937+00:00
2026-06-24,A,Group Stage,Group Stage,,Czech Republic,Mexico,0.0,3.0,completed,False,,,Mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-25,source_event_date_plus_1,2026-07-10T12:20:03.068488+00:00
2026-06-24,A,Group Stage,Group Stage,,South Africa,South Korea,1.0,0.0,completed,False,,,South Africa,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-25,source_event_date_plus_1,2026-07-10T12:20:03.068488+00:00
2026-06-24,B,Group Stage,Group Stage,,Bosnia and Herzegovina,Qatar,3.0,1.0,completed,False,,,Bosnia-Herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-24,exact,2026-07-10T12:20:03.068488+00:00
2026-06-24,B,Group Stage,Group Stage,,Switzerland,Canada,2.0,1.0,completed,False,,,Switzerland,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-24,exact,2026-07-10T12:20:03.068488+00:00
