date,home_team,away_team,status,home_goals,away_goals,source
2026-06-29,Brazil,Japan,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629
2026-06-29,Germany,Paraguay,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629
2026-06-30,France,Sweden,completed,3.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630
2026-06-30,Ivory Coast,Norway,completed,1.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630
2026-06-30,Netherlands,Morocco,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629
2026-07-01,Belgium,Senegal,completed,3.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701
2026-07-01,England,Congo DR,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701
2026-07-01,Mexico,Ecuador,completed,2.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630
2026-07-02,Portugal,Croatia,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702
2026-07-02,Spain,Austria,completed,3.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702
2026-07-02,United States,Bosnia-Herzegovina,completed,2.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260701
2026-07-03,Argentina,Cape Verde,completed,3.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703
2026-07-03,Australia,Egypt,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703
2026-07-03,Switzerland,Algeria,completed,2.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260702
2026-07-04,Colombia,Ghana,completed,1.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260703
