date,league,home_team,away_team,actual_result,market_pred,market_confidence,xgb_pred,xgb_confidence,market_margin,poisson_home_xg,poisson_away_xg,poisson_total_xg,poisson_draw_signal
2025-08-23,Premier League,Man City,Tottenham,A,H,0.659333543822453,H,0.7799904,0.453412209088642,1.9927072506368364,0.8457775621631359,2.8384848127999724,1.1469296884737004
2025-04-05,La Liga,Barcelona,Betis,D,H,0.7150988461597033,H,0.7778523,0.5433624142289578,2.4326083794744147,0.8736049062523881,3.3062132857268027,1.5590034732220266
2026-05-16,Bundesliga,Leverkusen,Hamburg,D,H,0.7731045547251121,H,0.7763051,0.6326015125484452,2.8925794879941225,0.8561301431817726,3.748709631175895,2.03644934481235
2025-04-12,Premier League,Brighton,Leicester,D,H,0.7594442750389253,H,0.77506685,0.6079040554294921,2.326976895190992,0.7801857891530899,3.107162684344082,1.5467911060379023
2026-05-03,Ligue 1,Lille,Le Havre,D,H,0.6926375424831495,H,0.7738509,0.5019011718140785,2.2206198952706675,0.9766846818220576,3.197304577092725,1.24393521344861
2026-01-07,Premier League,Man City,Brighton,D,H,0.6967966357738158,H,0.77245885,0.5156685093460908,2.231766661687185,0.8462729477070745,3.0780396093942595,1.3854937139801105
2026-05-24,Serie A,Milan,Cagliari,A,H,0.754792475041783,H,0.77028054,0.5972369524969507,2.314859168617081,0.7464740742816528,3.061333242898734,1.568385094335428
2025-08-23,La Liga,Ath Madrid,Elche,D,H,0.7675486061543486,H,0.7700538,0.6132941716857812,2.510077790691497,0.8430971038956,3.353174894587097,1.6669806867958972
2026-01-14,Serie A,Napoli,Parma,D,H,0.7454456586975743,H,0.7648796,0.5819130347166604,2.332975143305869,0.7288296805091488,3.061804823815018,1.6041454627967204
2026-05-24,Premier League,Man City,Aston Villa,A,H,0.753151696547874,H,0.763436,0.5997155835740944,2.870283425729524,0.868160210298196,3.7384436360277205,2.002123215431328
2025-04-27,Serie A,Atalanta,Lecce,D,H,0.7694867286252239,H,0.75962335,0.6226297035893508,2.3766044954330705,0.7954162720508029,3.1720207674838736,1.5811882233822676
2026-03-06,Ligue 1,Paris SG,Monaco,A,H,0.7150988461597033,H,0.7583623,0.5433624142289578,2.468282455685055,0.8993576243709805,3.3676400800560353,1.5689248313140745
2025-04-02,Premier League,Bournemouth,Ipswich,A,H,0.7150671702516787,H,0.75685734,0.5402899683749743,2.3040593285163427,0.9478355664931118,3.2518948950094546,1.3562237620232307
2025-04-05,La Liga,Real Madrid,Valencia,A,H,0.7434649467826617,H,0.75654876,0.5845642839555568,2.461255463870116,0.847924881662658,3.309180345532774,1.6133305822074582
2025-08-23,Serie A,Milan,Cremonese,A,H,0.7323072140796637,H,0.7563981,0.5635614352869633,2.487437152010961,0.7421211282959002,3.229558280306861,1.745316023715061
2026-05-17,Ligue 1,Lille,Auxerre,A,H,0.694416848924018,H,0.7563242,0.5032084130837016,2.20801283244328,0.8546480184986136,3.062660850941894,1.3533648139446666
2025-05-25,Premier League,Newcastle,Everton,A,H,0.7342012700316903,H,0.75361395,0.5688445911809814,2.535369850379024,0.857524830468583,3.392894680847607,1.6778450199104409
2026-03-04,Premier League,Man City,Nott'm Forest,D,H,0.7057957674499439,H,0.7506648,0.5243014532164789,2.190013965237026,0.9375940629657058,3.1276080282027316,1.25241990227132
2025-10-24,Serie A,Milan,Pisa,D,H,0.7483819945733032,H,0.74879605,0.5884406994490079,2.213725826960777,0.7436089940468174,2.9573348210075943,1.4701168329139596
2026-03-14,Bundesliga,Hoffenheim,Wolfsburg,D,H,0.6772683326127698,H,0.7438322,0.4820401474810909,2.2764610721882272,0.9784367857554114,3.2548978579436385,1.298024286432816
2026-05-24,Serie A,Torino,Juventus,D,A,0.7020018116638463,A,0.74151087,0.5201670627205301,0.8476294132720279,2.0740871262245104,2.921716539496538,1.2264577129524825
2025-03-01,Ligue 1,Lens,Le Havre,A,H,0.7057957674499439,H,0.74117,0.5243014532164789,2.058513580820949,0.8146331819595592,2.8731467627805083,1.24388039886139
2025-10-29,Ligue 1,Marseille,Angers,D,H,0.7850381094297024,H,0.7409172,0.6478587358940998,2.472697894328055,0.7848620438794595,3.2575599382075144,1.6878358504485953
2025-05-11,Serie A,Napoli,Genoa,D,H,0.7478603511068606,H,0.73993844,0.5850586175046577,2.265498032289136,0.742102839804614,3.0076008720937497,1.523395192484522
2025-10-17,Ligue 1,Paris SG,Strasbourg,D,H,0.7480970285420337,H,0.7381602,0.5927897408307746,2.6961914632931885,0.8862100144568689,3.5824014777500572,1.8099814488363197
2026-02-15,Bundesliga,RB Leipzig,Wolfsburg,D,H,0.6772683326127698,H,0.73801076,0.4820401474810909,2.2335384826131506,0.9368235040607072,3.170361986673858,1.2967149785524432
2025-11-08,Premier League,Sunderland,Arsenal,D,A,0.7195897143553766,A,0.73765016,0.5517581889202878,0.8890804967459842,2.046922691846275,2.936003188592259,1.1578421951002906
2025-02-15,Premier League,Aston Villa,Ipswich,D,H,0.6901632270752521,H,0.7376102,0.5000058135452976,2.052827159055639,0.8022196096972205,2.8550467687528593,1.2506075493584186
2025-12-14,Serie A,Milan,Sassuolo,D,H,0.6838041151722718,H,0.73715466,0.48312697836310137,2.1925008178117515,0.8783617480185215,3.0708625658302733,1.31413906979323
2026-05-04,Premier League,Everton,Man City,D,A,0.6921885501033544,A,0.73545414,0.5107616076221583,1.0172141309086091,2.420804839184501,3.4380189700931103,1.4035907082758918
2026-05-17,Serie A,Inter,Verona,D,H,0.7896677185929346,H,0.73497576,0.6620725419287324,2.5243905140058915,0.8381184683239843,3.3625089823298757,1.6862720456819074
2026-01-04,Ligue 1,Marseille,Nantes,A,H,0.7850381094297024,H,0.7298941,0.6478587358940998,2.628023063515494,0.8033086795659534,3.431331743081447,1.8247143839495406
2026-04-10,La Liga,Real Madrid,Girona,D,H,0.7480970285420337,H,0.72975004,0.5927897408307746,2.573390753665905,0.9118839878794588,3.4852747415453638,1.6615067657864464
2026-05-17,Ligue 1,Nice,Metz,D,H,0.7033177702401185,H,0.7287471,0.5222822177780794,2.115303458526636,0.8276326842527931,2.942936142779429,1.2876707742738431
2025-04-12,Bundesliga,Bayern Munich,Dortmund,D,H,0.6827377151649553,H,0.72856617,0.49654455416440213,2.4329499439614337,1.026491250688211,3.459441194649645,1.4064586932732228
2025-05-11,Premier League,Nott'm Forest,Leicester,D,H,0.7243407352600456,H,0.7262244,0.5534243424892238,2.2512558192759617,0.8272769612360895,3.0785327805120515,1.4239788580398722
2026-03-15,Premier League,Liverpool,Tottenham,D,H,0.7481165404810801,H,0.7249988,0.5948852294970567,2.3941856090297766,0.8525880270508279,3.2467736360806043,1.5415975819789487
2025-03-15,Bundesliga,Union Berlin,Bayern Munich,D,A,0.7322078766406607,A,0.72482634,0.5689151695748144,0.9640618085771382,2.500583852531387,3.4646456611085252,1.5365220439542489
2026-04-11,Serie A,Milan,Udinese,A,H,0.6896692754178094,H,0.72211796,0.4937346401022881,2.117389853714273,0.815641038665146,2.933030892379419,1.3017488150491268
2025-02-01,Serie A,Atalanta,Torino,D,H,0.6848082722348277,H,0.71968234,0.48777062187010906,2.15362478349747,0.8343506724654876,2.9879754559629577,1.3192741110319828
2026-04-19,Ligue 1,Paris SG,Lyon,A,H,0.7480970285420337,H,0.7196385,0.5927897408307746,2.488296330862791,0.954663064110024,3.442959394972815,1.533633266752767
2025-02-09,Serie A,Napoli,Udinese,D,H,0.6816304329081835,H,0.71957266,0.4826666922711716,2.0347536676918754,0.799170773880216,2.8339244415720914,1.2355828938116593
2026-02-16,La Liga,Girona,Barcelona,H,A,0.7163778726127213,A,0.71947885,0.5485788547189355,0.9274518119868836,2.333646921345071,3.2610987333319543,1.4061951093581873
2025-11-30,La Liga,Girona,Real Madrid,D,A,0.7086035902869139,A,0.71925634,0.5399763288472116,1.0366825658271763,2.427723293301882,3.4644058591290587,1.3910407274747059
2025-02-12,Premier League,Everton,Liverpool,D,A,0.6991265144778296,A,0.7183593,0.5154752500976227,0.8795353214735689,2.3419921143116893,3.221527435785258,1.4624567928381205
2025-02-23,Bundesliga,RB Leipzig,Heidenheim,D,H,0.7223691309936258,H,0.71771514,0.5477070284356722,2.2625859006462825,0.8147339203228009,3.0773198209690835,1.4478519803234815
2026-05-02,Bundesliga,Bayern Munich,Heidenheim,D,H,0.7763768657119062,H,0.7166011,0.63837212087971,2.8374848724981327,0.969590899026351,3.8070757715244836,1.8678939734717819
2025-04-26,Ligue 1,Le Havre,Monaco,D,A,0.7006962984939855,A,0.7152856,0.5259663832633695,0.9489211461668876,2.263711918925736,3.212633065092624,1.3147907727588486
2025-12-04,Premier League,Man United,West Ham,D,H,0.6748722440481002,H,0.71527785,0.4827982520823912,2.3195959794515155,0.9765896013329814,3.296185580784497,1.3430063781185342
2025-04-05,Bundesliga,Mainz,Holstein Kiel,D,H,0.6744112034483002,H,0.7108598,0.47329681375150157,2.100240174949983,0.8736127920792072,2.97385296702919,1.2266273828707757
2025-03-08,Ligue 1,Marseille,Lens,A,H,0.6412802879804003,H,0.71013826,0.4252415795066492,2.1804241675417964,1.0143727221193928,3.1947968896611894,1.1660514454224036
2025-02-15,Serie A,Atalanta,Cagliari,D,H,0.6772683326127698,H,0.7091341,0.4820401474810909,2.203896429326381,0.9450460060172676,3.1489424353436486,1.2588504233091133
2025-04-25,Bundesliga,Stuttgart,Heidenheim,A,H,0.665591225501416,H,0.7079235,0.47008850985332606,2.1807543780894347,0.93914377420609,3.1198981522955247,1.2416106038833448
2026-05-02,Ligue 1,Paris SG,Lorient,D,H,0.73926704406072,H,0.7078784,0.5791855831751661,2.621145665149424,0.9848128289075192,3.605958494056943,1.6363328362419045
2026-04-26,Serie A,Torino,Inter,D,A,0.7168197995194936,A,0.7073281,0.5473006436162366,0.9053223889837372,2.1760944244277667,3.081416813411504,1.2707720354440295
2026-02-21,Premier League,Chelsea,Burnley,D,H,0.7850381094297024,H,0.7070245,0.6478587358940998,2.58407202468054,0.8121412332677911,3.3962132579483315,1.7719307914127491
2025-04-22,Ligue 1,Nantes,Paris SG,D,A,0.7091084604396153,A,0.7068507,0.5434417119520105,1.0359961892806444,2.3979388069934187,3.433934996274063,1.3619426177127743
2025-11-23,La Liga,Elche,Real Madrid,D,A,0.7185505639556754,A,0.7062348,0.5534458323719127,0.9763569857327092,2.3917695181687626,3.368126503901472,1.4154125324360534
2026-01-17,Premier League,Nott'm Forest,Arsenal,D,A,0.6594136526897635,A,0.7046313,0.4580946892390303,0.9784423828315006,2.007854222814583,2.9862966056460833,1.0294118399830823
2025-10-05,La Liga,Sevilla,Barcelona,H,A,0.6880259235289679,A,0.7015576,0.5120765902817419,0.9449872463119006,2.2508513353028468,3.195838581614747,1.3058640889909463
2026-03-21,Serie A,Juventus,Sassuolo,D,H,0.7323072140796637,H,0.7007333,0.5635614352869633,2.516718616880699,0.8621163588896067,3.378834975770306,1.6546022579910922
2025-04-19,Bundesliga,RB Leipzig,Holstein Kiel,D,H,0.7302048087531142,H,0.7006761,0.5663776631088089,2.2624874803479726,0.8659325162171789,3.1284199965651514,1.3965549641307937
2026-01-01,Premier League,Sunderland,Man City,D,A,0.7139869810234801,A,0.69998413,0.5412576555991605,0.9775669964814184,2.117235672147764,3.0948026686291827,1.1396686756663457
2026-05-03,Serie A,Juventus,Verona,D,H,0.7850381094297024,H,0.698727,0.6478587358940998,2.640008412637316,0.8063525211260205,3.4463609337633363,1.8336558915112953
2026-04-11,Premier League,Arsenal,Bournemouth,A,H,0.6816304329081835,H,0.6969575,0.4826666922711716,1.923438149943036,0.9480632567847636,2.8715014067277993,0.9753748931582724
2025-10-29,Ligue 1,Metz,Lens,H,A,0.6729968315860237,A,0.6951224,0.479657035463513,1.0138853992531285,1.9068144966414984,2.920699895894627,0.8929290973883699
2025-12-30,Premier League,Man United,Wolves,D,H,0.7199491750861068,H,0.6933286,0.5464231919268285,2.329780952290548,0.8554502741038816,3.18523122639443,1.4743306781866665
2025-12-20,Premier League,Bournemouth,Burnley,D,H,0.6571979649944591,H,0.6929982,0.4471984001963606,2.193522743310392,0.9806265497066008,3.174149293016993,1.2128961936037914
2025-03-08,Bundesliga,Holstein Kiel,Stuttgart,D,A,0.6546553083433698,A,0.6911623,0.4523317708487834,0.968605468418109,2.0385172052340765,3.0071226736521854,1.0699117368159676
2025-11-22,Premier League,Liverpool,Nott'm Forest,A,H,0.6805231241724993,H,0.6907461,0.49013441444353645,2.181686224999542,0.9180106449757128,3.099696869975255,1.2636755800238293
2026-04-26,Ligue 1,Marseille,Nice,D,H,0.6630163166738978,H,0.68090105,0.4577767502830562,2.132570721909429,0.8912587073220294,3.0238294292314585,1.2413120145873995
2025-12-01,Serie A,Bologna,Cremonese,A,H,0.6611971386145481,H,0.68017447,0.4438509147544869,1.854549993090861,0.8079642853345871,2.6625142784254483,1.046585707756274
2025-09-27,Serie A,Como,Cremonese,D,H,0.6790237703246319,H,0.6799135,0.47536062434930193,1.9434484268691647,0.7504534951653908,2.6939019220345557,1.1929949317037738
2025-11-08,Serie A,Juventus,Torino,D,H,0.6516790138507678,H,0.67985547,0.43373790427060716,1.924080084007925,0.8183677437312995,2.7424478277392246,1.1057123402766256
2025-04-13,Premier League,Chelsea,Ipswich,D,H,0.7670002293757687,H,0.67871946,0.625469889760228,2.601136140217001,0.8720319275737242,3.4731680677907253,1.7291042126432767
2026-04-17,Serie A,Sassuolo,Como,H,A,0.6546553083433698,A,0.6772475,0.4523317708487834,0.9774129966785052,2.0701949050290587,3.047607901707564,1.0927819083505534
2025-11-09,Serie A,Atalanta,Sassuolo,A,H,0.6760217870538799,H,0.6723012,0.47586121153273775,2.14122983349238,0.7936797440223744,2.9349095775147545,1.3475500894700057
2025-04-19,Premier League,West Ham,Southampton,D,H,0.6571979649944591,H,0.6697926,0.4471984001963606,1.9930696243276669,0.8723077546098287,2.8653773789374957,1.120761869717838
2025-09-14,Serie A,Roma,Torino,A,H,0.6516790138507678,H,0.66879034,0.43373790427060716,1.7999577076954734,0.8314406729917041,2.6313983806871777,0.9685170347037693
2026-02-08,Serie A,Juventus,Lazio,D,H,0.6644617493656397,H,0.6683455,0.45281577277308416,2.003491751271985,0.8337200578628967,2.8372118091348817,1.1697716934090883
2026-01-16,Serie A,Pisa,Atalanta,D,A,0.650998077126491,A,0.66799253,0.43681789481838945,0.8851146864186679,1.7438100572438653,2.628924743662533,0.8586953708251974
2026-02-06,Ligue 1,Metz,Lille,D,A,0.6525500498754736,A,0.66634476,0.445842088622342,0.9974599137848672,2.0824712177662565,3.079931131551124,1.0850113039813893
2026-01-04,Premier League,Man City,Chelsea,D,H,0.6087371925605017,H,0.66626453,0.39337706470997064,1.9222388427146189,0.999779339505047,2.922018182219666,0.9224595032095718
2025-05-03,Premier League,Everton,Ipswich,D,H,0.6621715890208589,H,0.66092575,0.45507264095973443,1.9018680432701205,0.7856918527723055,2.687559896042426,1.1161761904978151
2025-05-25,Premier League,Liverpool,Crystal Palace,D,H,0.700059011685938,H,0.66030526,0.5284475132900476,2.450860901932479,1.0008782797887674,3.4517391817212464,1.4499826221437115
2025-05-24,Serie A,Bologna,Genoa,A,H,0.6520383196687499,H,0.6602454,0.4435600834959321,2.017851127818204,0.8684738658385313,2.8863249936567352,1.1493772619796725
2025-09-20,Serie A,Verona,Juventus,D,A,0.650998077126491,A,0.6597149,0.43681789481838945,0.8604068790871405,1.6692589844486472,2.529665863535788,0.8088521053615066
2026-02-08,La Liga,Ath Madrid,Betis,A,H,0.6671228692411793,H,0.65788263,0.46754465165519726,2.03861233122321,0.8356184647245012,2.874230795947711,1.2029938664987085
2026-02-22,Serie A,Milan,Parma,A,H,0.72939713978517,H,0.6571345,0.5566643915567503,2.222083502899111,0.7340179867585088,2.9561014896576197,1.488065516140602
2025-03-30,La Liga,Ath Bilbao,Osasuna,D,H,0.6599974616190243,H,0.6545254,0.4471171772124384,2.0119515740054714,0.9985163553732458,3.0104679293787173,1.0134352186322255
2026-02-21,La Liga,Sociedad,Oviedo,D,H,0.6520896867143935,H,0.65330243,0.4302505603841119,1.9786619688817195,0.8671981909918622,2.845860159873582,1.1114637778898573
2026-05-02,Serie A,Atalanta,Genoa,D,H,0.621684600935703,H,0.65259004,0.39409396984411027,1.852175004985156,0.8350515167333682,2.6872265217185243,1.0171234882517877
2026-04-19,Ligue 1,Monaco,Auxerre,D,H,0.6412802879804003,H,0.6513764,0.4252415795066492,1.9144196615624205,0.928715124291154,2.8431347858535743,0.9857045372712665
2026-04-18,Serie A,Napoli,Lazio,A,H,0.6382541461147797,H,0.65062624,0.4102513420236254,1.9697073189618863,0.796288068105215,2.7659953870671012,1.1734192508566714
2026-03-08,Serie A,Bologna,Verona,A,H,0.6285303896998621,H,0.65029114,0.3975151789030754,1.7647971629138717,0.8033678581004129,2.5681650210142846,0.9614293048134588
2025-08-17,La Liga,Espanol,Ath Madrid,H,A,0.6397210718694085,A,0.65023243,0.4219225516534825,0.9739395869546928,2.3703199596410194,3.3442595465957123,1.3963803726863264
2025-11-08,Serie A,Como,Cagliari,D,H,0.6630163166738978,H,0.64749646,0.4577767502830562,1.8161284268257405,0.8020953379585152,2.618223764784256,1.0140330888672253
2025-04-04,Ligue 1,Nice,Nantes,A,H,0.6491250285106694,H,0.6426592,0.4332687378731279,1.9954098578119344,0.8600676670993779,2.8554775249113122,1.1353421907125565
2025-02-15,La Liga,Villarreal,Valencia,D,H,0.6429290498869891,H,0.6420654,0.4329672851574193,1.9231053371988025,0.8710918188383459,2.794197156037148,1.0520135183604566
2025-08-31,La Liga,Vallecano,Barcelona,D,A,0.7091084604396153,A,0.6385975,0.5434417119520105,1.0161491189961562,2.267860790860419,3.284009909856575,1.251711671864263
2026-04-18,Ligue 1,Lille,Nice,D,H,0.6539035283155761,H,0.63838696,0.4419844761691605,2.011131899563659,0.8990696700483257,2.9102015696119845,1.1120622295153333
2025-05-11,Serie A,Udinese,Monza,A,H,0.6588839411487358,H,0.6366096,0.44615965939969526,1.910442337855864,0.8234709448040183,2.7339132826598824,1.0869713930518456
2026-01-08,Serie A,Milan,Genoa,D,H,0.6816304329081835,H,0.6341616,0.4826666922711716,2.135765861068301,0.8557539427078179,2.991519803776119,1.2800119183604828
2026-02-08,Serie A,Bologna,Parma,A,H,0.6084016102779468,H,0.6335318,0.3709688234152098,1.7975762020129522,0.8549943392737976,2.65257054128675,0.9425818627391546
2025-04-19,La Liga,Las Palmas,Ath Madrid,H,A,0.6478076205463312,A,0.63173044,0.4401283932832234,0.9988678296464184,2.115820462265216,3.1146882919116345,1.1169526326187977
2026-02-28,Bundesliga,Hoffenheim,St Pauli,A,H,0.663066325855853,H,0.62960243,0.4627302956246009,2.096875779950317,0.9229410508819909,3.019816830832308,1.1739347290683262
2026-02-13,Ligue 1,Rennes,Paris SG,H,A,0.7106882204369248,A,0.6277852,0.539501256245258,0.9648726416692244,2.114700304400777,3.0795729460700016,1.1498276627315527
2025-09-27,Premier League,Tottenham,Wolves,D,H,0.6520383196687499,H,0.6263895,0.4435600834959321,1.9325168265954027,0.8916162330875456,2.824133059682948,1.0409005935078572
2025-11-08,Serie A,Parma,Milan,D,A,0.6384450109350007,A,0.624655,0.42296478030165185,0.9088455583302232,1.8294883761527525,2.738333934482976,0.9206428178225293
2025-09-23,La Liga,Ath Bilbao,Girona,D,H,0.6685860088070257,H,0.624521,0.46273392941901786,2.0034131770817423,0.8140818897702857,2.817495066852028,1.1893312873114565
2026-05-17,Serie A,Juventus,Fiorentina,A,H,0.7223691309936258,H,0.6207418,0.5477070284356722,2.1348988201236567,0.7275388954475167,2.8624377155711733,1.4073599246761401
2025-02-22,Premier League,Bournemouth,Wolves,A,H,0.6378903697554625,H,0.6204522,0.42522899672361925,2.0001146937406777,0.9998968256727117,3.0000115194133894,1.000217868067966
2025-04-28,Serie A,Lazio,Parma,D,H,0.6426937568206764,H,0.6192486,0.43076348101515494,1.9912463659831976,0.8828996393667541,2.8741460053499517,1.1083467266164435
2025-09-21,Bundesliga,Leverkusen,M'gladbach,D,H,0.6204721243763435,H,0.61880106,0.41307121359418997,2.090660175853937,1.135014398966034,3.225674574819971,0.955645776887903
2025-11-23,La Liga,Betis,Girona,D,H,0.6369318452745554,H,0.6182315,0.4202277363212298,2.099390162439541,0.9662713798291844,3.0656615422687254,1.1331187826103566
2025-04-05,Serie A,Parma,Inter,D,A,0.6800139552039758,A,0.6164011,0.48940562682475397,0.9275673451376524,1.88385303200006,2.811420377137712,0.9562856868624076
2026-01-17,Serie A,Cagliari,Juventus,H,A,0.6645178634080018,A,0.6150182,0.46337418535249075,0.9928894740711076,2.1796029608698064,3.172492434940914,1.1867134867986988
2025-12-20,Serie A,Lazio,Cremonese,D,H,0.6006008555073702,H,0.6131693,0.35744175991853333,1.9097178565313544,0.9445635758986224,2.8542814324299766,0.965154280632732
2026-03-22,Ligue 1,Rennes,Metz,D,H,0.7342012700316903,H,0.6130755,0.5688445911809814,2.142972432805739,0.8484376344067585,2.9914100672124975,1.2945347983989808
2025-04-19,Ligue 1,Monaco,Strasbourg,D,H,0.6210994005195315,H,0.61267304,0.4089591910528475,1.916444599537549,0.8976957429510939,2.814140342488643,1.018748856586455
2025-03-08,Bundesliga,Dortmund,Augsburg,A,H,0.6369318452745554,H,0.6125423,0.4202277363212298,1.915736706655832,0.9572492931504648,2.8729859998062968,0.9584874135053671
2026-04-12,Serie A,Parma,Napoli,D,A,0.6315000269711081,A,0.6113759,0.4073903370048307,0.900448724178808,1.636322271542102,2.53677099572091,0.735873547363294
2026-03-08,Ligue 1,Lille,Lorient,D,H,0.6293394793476645,H,0.6110674,0.40423592694485205,1.9248977093515047,0.8572275046921758,2.7821252140436803,1.067670204659329
2026-05-19,Premier League,Bournemouth,Man City,D,A,0.6006225600518806,A,0.6109217,0.38079134885269705,0.9924465110019132,1.977874896710155,2.970321407712068,0.9854283857082418
2025-10-25,Serie A,Cremonese,Atalanta,D,A,0.6197356237721096,A,0.60939205,0.40269953160918676,0.990014462036618,1.834521849719125,2.824536311755743,0.8445073876825069
2025-11-02,Serie A,Fiorentina,Lecce,A,H,0.6006008555073702,H,0.6089907,0.35744175991853333,1.744053810430397,0.858795405852881,2.6028492162832784,0.885258404577516
2025-12-30,Premier League,Chelsea,Bournemouth,D,H,0.6553774672484505,H,0.60859007,0.4524841184483461,2.052396731727572,0.9516382275062284,3.0040349592338007,1.1007585042213437
2026-01-24,Serie A,Fiorentina,Cagliari,A,H,0.6006008555073702,H,0.60858035,0.35744175991853333,1.7983850989241568,0.8416428326229253,2.640027931547082,0.9567422663012315
2025-05-17,Ligue 1,Strasbourg,Le Havre,A,H,0.6276546871938915,H,0.60783374,0.41633261863593474,1.9061215349340963,0.9195893105393428,2.825710845473439,0.9865322243947535
2025-05-24,La Liga,Vallecano,Mallorca,D,H,0.6404980827978577,H,0.6065223,0.4211327148405577,1.945043025262028,0.8552567165177094,2.8002997417797375,1.0897863087443187
2026-01-03,Serie A,Juventus,Lecce,D,H,0.7650496827549463,H,0.60621196,0.6116086197473419,2.2229047144591,0.6874926457194471,2.910397360178547,1.535412068739653
2025-05-18,Serie A,Inter,Lazio,D,H,0.601433911478806,H,0.60542876,0.37076582992618556,1.9102493789296928,0.9577689364891132,2.868018315418806,0.9524804424405796
