date,home_team,away_team,result_found,matched_result_key,status,home_goals,away_goals,reason_if_not_matched
2026-06-26,Uruguay,Spain,True,2026-06-26|Uruguay|Spain,completed,0.0,1.0,
2026-06-26,Norway,France,True,2026-06-26|Norway|France,completed,1.0,4.0,
2026-06-26,Senegal,Iraq,True,2026-06-26|Senegal|Iraq,completed,5.0,0.0,
2026-06-27,Algeria,Austria,True,2026-06-27|Algeria|Austria,completed,3.0,3.0,
2026-06-27,Jordan,Argentina,True,2026-06-27|Jordan|Argentina,completed,1.0,3.0,
2026-06-27,Colombia,Portugal,True,2026-06-27|Colombia|Portugal,completed,0.0,0.0,
2026-06-27,DR Congo,Uzbekistan,True,2026-06-27|DR Congo|Uzbekistan,completed,3.0,1.0,
2026-06-27,Croatia,Ghana,True,2026-06-27|Croatia|Ghana,completed,2.0,1.0,
2026-06-27,Panama,England,True,2026-06-27|Panama|England,completed,0.0,2.0,
2026-06-28,South Africa,Canada,True,2026-06-28|South Africa|Canada,completed,0.0,1.0,
2026-06-29,Brazil,Japan,True,2026-06-29|Brazil|Japan,completed,2.0,1.0,
2026-06-29,Germany,Paraguay,True,2026-06-29|Germany|Paraguay,completed,1.0,1.0,
2026-06-30,Netherlands,Morocco,True,2026-06-30|Netherlands|Morocco,completed,1.0,1.0,
2026-06-30,Ivory Coast,Norway,True,2026-06-30|Ivory Coast|Norway,completed,1.0,2.0,
2026-06-30,France,Sweden,True,2026-06-30|France|Sweden,completed,3.0,0.0,
2026-07-01,Mexico,Ecuador,True,2026-07-01|Mexico|Ecuador,completed,2.0,0.0,
2026-07-01,England,Congo DR,True,2026-07-01|England|Congo DR,completed,2.0,1.0,
2026-07-01,Belgium,Senegal,True,2026-07-01|Belgium|Senegal,completed,3.0,2.0,
2026-07-02,United States,Bosnia-Herzegovina,True,2026-07-02|United States|Bosnia-Herzegovina,completed,2.0,0.0,
2026-07-02,Spain,Austria,True,2026-07-02|Spain|Austria,completed,3.0,0.0,
2026-07-02,Portugal,Croatia,True,2026-07-02|Portugal|Croatia,completed,2.0,1.0,
2026-07-03,Switzerland,Algeria,True,2026-07-03|Switzerland|Algeria,completed,2.0,0.0,
2026-07-03,Australia,Egypt,True,2026-07-03|Australia|Egypt,completed,1.0,1.0,
2026-07-03,Argentina,Cape Verde,True,2026-07-03|Argentina|Cape Verde,completed,3.0,2.0,
2026-07-04,Canada,Morocco,False,,scheduled,,,missing_result_for_key
2026-07-04,Paraguay,France,False,,scheduled,,,missing_result_for_key
2026-07-04,Colombia,Ghana,True,2026-07-04|Colombia|Ghana,completed,1.0,0.0,
2026-07-05,Brazil,Norway,False,,scheduled,,,missing_result_for_key
2026-07-06,Mexico,England,False,,scheduled,,,missing_result_for_key
2026-07-06,Portugal,Spain,False,,scheduled,,,missing_result_for_key
2026-07-07,United States,Belgium,False,,scheduled,,,missing_result_for_key
2026-07-07,Argentina,Egypt,False,,scheduled,,,missing_result_for_key
2026-07-07,Switzerland,Colombia,False,,scheduled,,,missing_result_for_key
2026-07-11,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-11,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-12,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-12,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-14,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-15,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-19,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
